Year,District,Recharge From Rain Fall During Monsoon Season in Ham,Recharge From Other Sources During Monsoon Season in Ham,Recharge From Rain Fall During Non Monsoon Season in Ham,Recharge From Other Sources During Non Monsoon Season in Ham,Total Annual Recharge in Ham,Natural Discharge During Non Monsoon Season In Ham,Net Ground Water Availability in Ham,Existing Gross Ground Water Draft for Irrigation in Ham,Existing Gross Ground Water Draft for Domestic & Industrial Water Supply in Ham,Existing Gross Ground Water Draft for All Uses in Ham,Allocation For Domestic & Industrial Water Supply in Ham,Net Ground Water Availability for Future Irrigation Development in Ham,Stage of Ground Water Development in %,
2022,PANNA,47301.36,1304.77,0,6086.81,54692.94,5091.49,49601.45,15770.99,97.86,2439.88,18308.74,2635.57,31097.02,36.91
2022,RAISEN,78466.31,3449.94,0,10280.27,92196.52,7045.91,85150.61,42627.95,532.64,3354.24,46514.82,3727.52,38262.51,54.63
2022,RAJGARH,71600.81,4461.36,0,15643.07,91705.24,4585.26,87119.98,73778.17,0.81,4038.24,77817.23,4534.9,9806.02,89.32
2022,RATLAM,54340.5,7111.07,0,22676.75,84128.32,8047.49,76080.83,99438.31,41.35,4304.82,103784.48,6066.1,1949,136.41
2022,REWA,44896.83,1840.38,283.37,7162.94,54183.52,4697.22,49486.3,21403.04,185.73,5561.24,27149.99,6185.05,21712.5,54.86
2022,SAGAR,93233.55,3913.18,0,14488.99,111635.72,8451.49,103184.22,56806.95,80.78,3753.9,60641.65,4089.76,42206.71,58.77
2022,SATNA,54387.41,2327.9,1151.73,13900.15,71767.19,5254.69,66512.51,37758.15,108.38,4692.9,42559.47,5077.31,25653.71,63.99
2022,SEHORE,55667.23,3541.16,0,14219.47,73427.86,6243.1,67184.76,38894.5,117.47,2484.78,41496.74,2714.97,25502.91,61.77
2022,SEONI,64628.13,2002.3,2284.48,6369.1,75284.01,5658.51,69625.5,24964.82,3.08,3278.8,28246.69,3532.72,41124.89,40.57
2022,SHAHDOL,52740.68,308.23,1305.53,1114.55,55468.99,3079.42,52389.57,3124.57,1485.11,2274.39,6884.07,2440.47,45339.41,13.14
2022,SHAJAPUR,41656.19,3173.45,0,10898.85,55728.49,4233.15,51495.34,52782.83,54.55,2154.29,54991.68,2288.53,2296.98,106.79
2022,SHEOPUR,32266.67,1132.8,0,11512.19,44911.66,3560.13,41351.53,16743.16,44.79,1784.97,18572.93,1968.51,22595.05,44.91
2022,SHIVPURI,66972.23,3699.46,0,14908.13,85579.82,7104.52,78475.3,48288.67,40.59,4585.16,52914.4,5048.85,25097.21,67.43
2022,SIDHI,29499.26,763.78,392.3,2801.76,33457.1,2545.01,30912.09,7552.41,806.57,2854.72,11213.69,3157.52,19395.6,36.28
2022,SINGRAULI,31486.31,705.09,0,2386.89,34578.29,1728.91,32849.38,8979.76,2714.6,2601.11,14295.48,2945.75,18209.26,43.52
2022,TIKAMGARH,28852.25,2536.53,0,8216.17,39604.95,3481.57,36123.38,26734.19,0,2984.52,29718.71,3746.52,5642.67,82.27
2022,UJJAIN,72670.78,5764.4,0,21493.06,99928.24,8326.69,91601.55,95485.93,32.92,3842.94,99361.77,4104.22,9318.59,108.47
2022,UMARIA,33759.58,392.98,659.44,1008.87,35820.87,3582.1,32238.77,4294.94,539.84,1541.24,6376.02,1714.96,25689.02,19.78
2022,VIDISHA,74532.36,2896.03,0,13418.94,90847.33,5977,84870.33,51046,0.15,3906.85,54952.98,4260.54,29563.66,64.75
